experiment_id,date,model,pretrained,img_size,epochs,batch_size,optimizer,learning_rate,augmentations,duration_seconds,precision,recall,mAP50,mAP50_95,fitness
FIRE_E001,2026-07-07 22:47:22,yolov8n,Yes,640,0,8,None,0.0,None,2.45,0.0312,0.0333,0.0108,0.0011,0.0011
FIRE_E002,2026-07-07 22:47:43,yolov8n,No,640,3,8,AdamW,0.0016,Default,20.99,0.0000,0.0000,0.0000,0.0000,0.0000
FIRE_E003,2026-07-07 22:48:35,yolov8s,No,640,3,8,AdamW,0.0016,Default,51.68,0.0001,0.0333,0.0000,0.0000,0.0000
FIRE_E004,2026-07-07 22:48:50,yolov8n,Yes,640,3,8,AdamW,0.0016,Default + Freeze-10,15.49,0.0067,1.0000,0.6706,0.5241,0.5241
FIRE_E005,2026-07-07 22:49:10,yolov8n,Yes,640,3,8,AdamW,0.0016,Mosaic+Mixup+Degrees,20.13,0.0057,0.8333,0.4413,0.2180,0.2180
FIRE_E006,2026-07-07 22:49:32,yolov8n,Yes,640,3,16,AdamW,0.005,Default,21.94,0.0064,0.9667,0.5932,0.4358,0.4358
FIRE_E007,2026-07-07 22:49:52,yolov8n,Yes,640,3,8,AdamW,0.0005,Default,20.11,0.0063,0.9333,0.6383,0.4611,0.4611
